run_number,framework,scenario,timestamp,metric_name,value,unit
2,Angular,expand-collapse-description,2025-12-14T00:27:03.306Z,expand_total_time,105,ms
2,Angular,expand-collapse-description,2025-12-14T00:27:03.306Z,expand_cls_delta,0.000001980251736111111,score
2,Angular,expand-collapse-description,2025-12-14T00:27:03.306Z,collapse_duration,105,ms
2,Angular,expand-collapse-description,2025-12-14T00:27:03.306Z,collapse_total_time,103,ms
2,Angular,expand-collapse-description,2025-12-14T00:27:03.306Z,collapse_cls_delta,0.000001980251736111111,score
3,Angular,expand-collapse-description,2025-12-14T00:27:06.381Z,expand_duration,105.5,ms
3,Angular,expand-collapse-description,2025-12-14T00:27:06.381Z,expand_total_time,104,ms
3,Angular,expand-collapse-description,2025-12-14T00:27:06.381Z,expand_cls_delta,0.000001980251736111111,score
3,Angular,expand-collapse-description,2025-12-14T00:27:06.381Z,collapse_duration,104.10000000000582,ms
3,Angular,expand-collapse-description,2025-12-14T00:27:06.381Z,collapse_total_time,103,ms
3,Angular,expand-collapse-description,2025-12-14T00:27:06.381Z,collapse_cls_delta,0.000001980251736111111,score
4,Angular,expand-collapse-description,2025-12-14T00:27:09.529Z,expand_duration,116.90000000002328,ms
4,Angular,expand-collapse-description,2025-12-14T00:27:09.529Z,expand_total_time,115,ms
4,Angular,expand-collapse-description,2025-12-14T00:27:09.529Z,expand_cls_delta,0.000001980251736111111,score
4,Angular,expand-collapse-description,2025-12-14T00:27:09.529Z,collapse_duration,106.29999999998836,ms
4,Angular,expand-collapse-description,2025-12-14T00:27:09.529Z,collapse_total_time,104,ms
4,Angular,expand-collapse-description,2025-12-14T00:27:09.529Z,collapse_cls_delta,0.000001980251736111111,score
5,Angular,expand-collapse-description,2025-12-14T00:27:12.420Z,expand_duration,106.20000000001164,ms
5,Angular,expand-collapse-description,2025-12-14T00:27:12.420Z,expand_total_time,105,ms
5,Angular,expand-collapse-description,2025-12-14T00:27:12.420Z,expand_cls_delta,0.000001980251736111111,score
5,Angular,expand-collapse-description,2025-12-14T00:27:12.420Z,collapse_duration,104.5,ms
5,Angular,expand-collapse-description,2025-12-14T00:27:12.420Z,collapse_total_time,102,ms
5,Angular,expand-collapse-description,2025-12-14T00:27:12.420Z,collapse_cls_delta,0.000001980251736111111,score
1,Angular,navigate-to-detail,2025-12-14T00:27:16.550Z,total_navigation_time,213,ms
1,Angular,navigate-to-detail,2025-12-14T00:27:16.550Z,detail_lcp,80,ms
1,Angular,navigate-to-detail,2025-12-14T00:27:16.550Z,detail_cls,0,score
1,Angular,navigate-to-detail,2025-12-14T00:27:16.550Z,memory_delta,0,bytes
1,Angular,navigate-to-detail,2025-12-14T00:27:16.550Z,detail_request_count,4,count
1,Angular,navigate-to-detail,2025-12-14T00:27:16.550Z,detail_total_bytes,43674,bytes
2,Angular,navigate-to-detail,2025-12-14T00:27:20.507Z,total_navigation_time,184,ms
2,Angular,navigate-to-detail,2025-12-14T00:27:20.507Z,detail_lcp,84,ms
2,Angular,navigate-to-detail,2025-12-14T00:27:20.507Z,detail_cls,0,score
2,Angular,navigate-to-detail,2025-12-14T00:27:20.507Z,memory_delta,0,bytes
2,Angular,navigate-to-detail,2025-12-14T00:27:20.507Z,detail_request_count,4,count
2,Angular,navigate-to-detail,2025-12-14T00:27:20.507Z,detail_total_bytes,43674,bytes
3,Angular,navigate-to-detail,2025-12-14T00:27:24.499Z,total_navigation_time,211,ms
3,Angular,navigate-to-detail,2025-12-14T00:27:24.499Z,detail_lcp,80,ms
3,Angular,navigate-to-detail,2025-12-14T00:27:24.499Z,detail_cls,0,score
3,Angular,navigate-to-detail,2025-12-14T00:27:24.499Z,memory_delta,0,bytes
3,Angular,navigate-to-detail,2025-12-14T00:27:24.499Z,detail_request_count,4,count
3,Angular,navigate-to-detail,2025-12-14T00:27:24.499Z,detail_total_bytes,43674,bytes
4,Angular,navigate-to-detail,2025-12-14T00:27:28.264Z,total_navigation_time,103,ms
4,Angular,navigate-to-detail,2025-12-14T00:27:28.264Z,detail_lcp,84,ms
4,Angular,navigate-to-detail,2025-12-14T00:27:28.264Z,detail_cls,0,score
4,Angular,navigate-to-detail,2025-12-14T00:27:28.264Z,memory_delta,0,bytes
4,Angular,navigate-to-detail,2025-12-14T00:27:28.264Z,detail_request_count,4,count
4,Angular,navigate-to-detail,2025-12-14T00:27:28.264Z,detail_total_bytes,43674,bytes
5,Angular,navigate-to-detail,2025-12-14T00:27:32.190Z,total_navigation_time,190,ms
5,Angular,navigate-to-detail,2025-12-14T00:27:32.190Z,detail_lcp,128,ms
5,Angular,navigate-to-detail,2025-12-14T00:27:32.190Z,detail_cls,0,score
5,Angular,navigate-to-detail,2025-12-14T00:27:32.190Z,memory_delta,0,bytes
5,Angular,navigate-to-detail,2025-12-14T00:27:32.190Z,detail_request_count,4,count
5,Angular,navigate-to-detail,2025-12-14T00:27:32.190Z,detail_total_bytes,43674,bytes
1,Angular,navigate-back-to-list,2025-12-14T00:27:38.497Z,total_back_navigation_time,1650,ms
1,Angular,navigate-back-to-list,2025-12-14T00:27:38.497Z,rendered_row_count,50,count
1,Angular,navigate-back-to-list,2025-12-14T00:27:38.497Z,memory_delta,0,bytes
2,Angular,navigate-back-to-list,2025-12-14T00:27:44.675Z,total_back_navigation_time,1639,ms
2,Angular,navigate-back-to-list,2025-12-14T00:27:44.675Z,rendered_row_count,50,count
2,Angular,navigate-back-to-list,2025-12-14T00:27:44.675Z,memory_delta,0,bytes
3,Angular,navigate-back-to-list,2025-12-14T00:27:50.776Z,total_back_navigation_time,1627,ms
3,Angular,navigate-back-to-list,2025-12-14T00:27:50.776Z,rendered_row_count,50,count
3,Angular,navigate-back-to-list,2025-12-14T00:27:50.776Z,memory_delta,0,bytes
4,Angular,navigate-back-to-list,2025-12-14T00:27:56.140Z,total_back_navigation_time,1181,ms
4,Angular,navigate-back-to-list,2025-12-14T00:27:56.140Z,rendered_row_count,50,count
4,Angular,navigate-back-to-list,2025-12-14T00:27:56.140Z,memory_delta,0,bytes
5,Angular,navigate-back-to-list,2025-12-14T00:28:02.111Z,total_back_navigation_time,1634,ms
5,Angular,navigate-back-to-list,2025-12-14T00:28:02.111Z,rendered_row_count,50,count
5,Angular,navigate-back-to-list,2025-12-14T00:28:02.111Z,memory_delta,0,bytes
1,Angular,pagination-cycle,2025-12-14T00:28:07.250Z,page_transition_1_next,443,ms
1,Angular,pagination-cycle,2025-12-14T00:28:07.250Z,page_transition_1_next_js,486.4000000000233,ms
1,Angular,pagination-cycle,2025-12-14T00:28:07.250Z,page_transition_2_next,311,ms
1,Angular,pagination-cycle,2025-12-14T00:28:07.250Z,page_transition_2_next_js,330.20000000001164,ms
1,Angular,pagination-cycle,2025-12-14T00:28:07.250Z,page_transition_3_previous,322,ms
1,Angular,pagination-cycle,2025-12-14T00:28:07.250Z,page_transition_3_previous_js,340.70000000001164,ms
1,Angular,pagination-cycle,2025-12-14T00:28:07.250Z,page_transition_4_previous,330,ms
1,Angular,pagination-cycle,2025-12-14T00:28:07.250Z,page_transition_4_previous_js,352.5,ms
1,Angular,pagination-cycle,2025-12-14T00:28:07.250Z,total_cycle_time,1797,ms
1,Angular,pagination-cycle,2025-12-14T00:28:07.250Z,total_cycle_js_time,1818.7999999999884,ms
1,Angular,pagination-cycle,2025-12-14T00:28:07.250Z,avg_page_transition,351.5,ms
1,Angular,pagination-cycle,2025-12-14T00:28:07.250Z,min_page_transition,311,ms
1,Angular,pagination-cycle,2025-12-14T00:28:07.250Z,max_page_transition,443,ms
1,Angular,pagination-cycle,2025-12-14T00:28:07.250Z,avg_api_response_time,25.5,ms
1,Angular,pagination-cycle,2025-12-14T00:28:07.250Z,total_api_requests,4,count
1,Angular,pagination-cycle,2025-12-14T00:28:07.250Z,total_network_bytes,277755,bytes
1,Angular,pagination-cycle,2025-12-14T00:28:07.250Z,memory_delta,0,bytes
2,Angular,pagination-cycle,2025-12-14T00:28:11.930Z,page_transition_1_next,383,ms
2,Angular,pagination-cycle,2025-12-14T00:28:11.930Z,page_transition_1_next_js,401.69999999995343,ms
2,Angular,pagination-cycle,2025-12-14T00:28:11.930Z,page_transition_2_next,344,ms
2,Angular,pagination-cycle,2025-12-14T00:28:11.930Z,page_transition_2_next_js,362.0999999999767,ms
2,Angular,pagination-cycle,2025-12-14T00:28:11.930Z,page_transition_3_previous,309,ms
2,Angular,pagination-cycle,2025-12-14T00:28:11.930Z,page_transition_3_previous_js,328.70000000001164,ms
2,Angular,pagination-cycle,2025-12-14T00:28:11.930Z,page_transition_4_previous,323,ms
2,Angular,pagination-cycle,2025-12-14T00:28:11.930Z,page_transition_4_previous_js,338.80000000004657,ms
2,Angular,pagination-cycle,2025-12-14T00:28:11.930Z,total_cycle_time,1690,ms
2,Angular,pagination-cycle,2025-12-14T00:28:11.930Z,total_cycle_js_time,1713.2999999999884,ms
2,Angular,pagination-cycle,2025-12-14T00:28:11.930Z,avg_page_transition,339.75,ms
2,Angular,pagination-cycle,2025-12-14T00:28:11.930Z,min_page_transition,309,ms
2,Angular,pagination-cycle,2025-12-14T00:28:11.930Z,max_page_transition,383,ms
2,Angular,pagination-cycle,2025-12-14T00:28:11.930Z,avg_api_response_time,24.25,ms
2,Angular,pagination-cycle,2025-12-14T00:28:11.930Z,total_api_requests,4,count
2,Angular,pagination-cycle,2025-12-14T00:28:11.930Z,total_network_bytes,277755,bytes
2,Angular,pagination-cycle,2025-12-14T00:28:11.930Z,memory_delta,0,bytes
3,Angular,pagination-cycle,2025-12-14T00:28:16.467Z,page_transition_1_next,368,ms
3,Angular,pagination-cycle,2025-12-14T00:28:16.467Z,page_transition_1_next_js,384.4000000000233,ms
3,Angular,pagination-cycle,2025-12-14T00:28:16.467Z,page_transition_2_next,315,ms
3,Angular,pagination-cycle,2025-12-14T00:28:16.467Z,page_transition_2_next_js,331.5,ms
3,Angular,pagination-cycle,2025-12-14T00:28:16.467Z,page_transition_3_previous,316,ms
3,Angular,pagination-cycle,2025-12-14T00:28:16.467Z,page_transition_3_previous_js,335.3999999999651,ms
3,Angular,pagination-cycle,2025-12-14T00:28:16.467Z,page_transition_4_previous,333,ms
3,Angular,pagination-cycle,2025-12-14T00:28:16.467Z,page_transition_4_previous_js,353.3999999999651,ms
3,Angular,pagination-cycle,2025-12-14T00:28:16.467Z,total_cycle_time,1675,ms
