framework,scenario,metric_name,median,mean,min,max,std_dev,total_runs,discarded_runs
Svelte,detail-navigation-cycle,avg_api_response_time,1.5,1.35,0.75,1.75,0.3391164991562634,5,
Svelte,detail-navigation-cycle,total_api_requests,5,5,5,5,0,5,
Svelte,detail-navigation-cycle,total_network_bytes,19742,19742,19742,19742,0,5,
Svelte,detail-navigation-cycle,memory_delta,0,0,0,0,0,5,
Solid,initial-page-load,fcp,92,92.8,88,96,2.993325909419153,5,
Solid,initial-page-load,lcp,92,92.8,88,96,2.993325909419153,5,
Solid,initial-page-load,cls,0,0,0,0,0,5,
Solid,initial-page-load,tti,11.79999999993015,11.119999999995343,9,12.699999999953434,1.421829806963683,5,
Solid,initial-page-load,tbt,0,0,0,0,0,5,
Solid,initial-page-load,initial_heap_size,81400000,81400000,81400000,81400000,0,5,
Solid,initial-page-load,initial_used_heap,50400000,50400000,50400000,50400000,0,5,
Solid,initial-page-load,request_count,54,54,54,54,0,5,
Solid,initial-page-load,total_bytes,257259,257259,257259,257259,0,5,
Solid,initial-page-load,network_duration,514,513.8,505,520,5.230678732248808,5,
Solid,initial-page-load,largest_request,70965,70965,70965,70965,0,5,
Solid,initial-page-load,avg_api_response_time,38,38,36,39,1.0954451150103321,5,
Solid,initial-page-load,total_navigation_time,1016,1016,1008,1022,4.898979485566356,5,
Solid,filter-application,filter_duration,77.90000000002328,81.32000000001862,70.80000000004657,103.59999999997672,11.45589804421759,5,
Solid,filter-application,total_filter_time,77,80.6,70,103,11.49956520917204,5,
Solid,filter-application,memory_delta,0,0,0,0,0,5,
Solid,filter-application,filtered_row_count,11,11,11,11,0,5,
Solid,filter-application,js_execution_time,77.90000000002328,81.32000000001862,70.80000000004657,103.59999999997672,11.45589804421759,5,
Solid,clear-filters,clear_duration,207.90000000002328,209.6399999999907,202.69999999995343,217.5,5.318496028007789,5,
Solid,clear-filters,total_clear_time,207,208.4,202,216,5.0039984012787215,5,
Solid,clear-filters,memory_delta,0,0,0,0,0,5,
Solid,clear-filters,restored_row_count,50,50,50,50,0,5,
Solid,expand-collapse-description,expand_duration,105.5,104.93999999999069,103.30000000004657,106,1.024890238010432,5,
Solid,expand-collapse-description,expand_total_time,104,103.6,102,105,1.019803902718557,5,
Solid,expand-collapse-description,expand_cls_delta,0.000001980251736111111,0.000001980251736111111,0.000001980251736111111,0.000001980251736111111,0,5,
Solid,expand-collapse-description,collapse_duration,105.40000000002328,105.58000000000466,105,106.5,0.5306599664658146,5,
Solid,expand-collapse-description,collapse_total_time,104,104,103,105,0.6324555320336759,5,
Solid,expand-collapse-description,collapse_cls_delta,0.000001980251736111111,0.000001980251736111111,0.000001980251736111111,0.000001980251736111111,0,5,
Solid,navigate-to-detail,total_navigation_time,170,166.8,150,173,8.518215775618744,5,
Solid,navigate-to-detail,detail_lcp,92,91.2,88,96,2.9933259094191533,5,
Solid,navigate-to-detail,detail_cls,0,0,0,0,0,5,
Solid,navigate-to-detail,memory_delta,0,0,0,0,0,5,
Solid,navigate-to-detail,detail_request_count,3,3,3,3,0,5,
Solid,navigate-to-detail,detail_total_bytes,23534,23534,23534,23534,0,5,
Solid,navigate-back-to-list,total_back_navigation_time,281,280.6,265,302,12.690153663372245,5,
Solid,navigate-back-to-list,rendered_row_count,50,50,50,50,0,5,
Solid,navigate-back-to-list,memory_delta,0,0,0,0,0,5,
Solid,pagination-cycle,page_transition_1_next,320,344.6,298,442,52.93618800027066,5,
Solid,pagination-cycle,page_transition_1_next_js,415.19999999995343,423.75999999996276,399.29999999993015,451.39999999990687,22.212663055105036,5,
Solid,pagination-cycle,page_transition_2_next,254,271,249,348,38.55385843206877,5,
Solid,pagination-cycle,page_transition_2_next_js,350.69999999995343,347.71999999999537,341.0999999999767,353.9000000000233,5.313529900187576,5,
Solid,pagination-cycle,page_transition_3_previous,241,278,230,347,50.58458263146984,5,
Solid,pagination-cycle,page_transition_3_previous_js,337.69999999995343,336.2999999999767,321.89999999990687,350.4000000000233,9.347299075168275,5,
Solid,pagination-cycle,page_transition_4_previous,217,231.2,208,291,30.544393920980006,5,
Solid,pagination-cycle,page_transition_4_previous_js,293.4000000000233,302.04000000001395,288.4000000000233,323.19999999995343,13.728452206979249,5,
Solid,pagination-cycle,total_cycle_time,1490,1486.8,1429,1524,31.720025220670934,5,
Solid,pagination-cycle,total_cycle_js_time,1504.5,1498.2799999999813,1445.4000000000233,1525.7999999999302,28.030797348604988,5,
Solid,pagination-cycle,avg_page_transition,276.75,281.2,250.25,329.75,26.8218194759416,5,
Solid,pagination-cycle,min_page_transition,217,223.8,208,254,16.33891061240008,5,
Solid,pagination-cycle,max_page_transition,348,360,305,442,44.86869732898427,5,
Solid,pagination-cycle,avg_api_response_time,27,27.15,23.75,30.25,2.552449803620044,5,
Solid,pagination-cycle,total_api_requests,4,4,4,4,0,5,
Solid,pagination-cycle,total_network_bytes,277755,277755,277755,277755,0,5,
Solid,pagination-cycle,memory_delta,0,0,0,0,0,5,
Solid,detail-navigation-cycle,initial_detail_load,651,654.4,647,663,6.374950980203691,5,
Solid,detail-navigation-cycle,next_navigation_time,11,10.8,9,12,1.16619037896906,5,
Solid,detail-navigation-cycle,next_navigation_js,12.099999999976717,11.8,9.699999999953434,14,1.4628738838407374,5,
Solid,detail-navigation-cycle,prev_navigation_time,9,9.2,8,11,0.9797958971132712,5,
Solid,detail-navigation-cycle,prev_navigation_js,10.400000000023283,10.68000000002794,9.5,12.100000000093132,0.9173875953005699,5,
Solid,detail-navigation-cycle,total_cycle_time,331,330.8,326,334,2.7856776554368237,5,
Solid,detail-navigation-cycle,total_cycle_js_time,332.0999999999767,332.04000000001395,327.5999999999767,334.9000000000233,2.5088642849056724,5,
Solid,detail-navigation-cycle,avg_navigation_time,10,10,8.5,11.5,1,5,
Solid,detail-navigation-cycle,avg_api_response_time,2,1.95,1.5,2.5,0.4,5,
Solid,detail-navigation-cycle,total_api_requests,5,5,5,5,0,5,
Solid,detail-navigation-cycle,total_network_bytes,19742,19742,19742,19742,0,5,
Solid,detail-navigation-cycle,memory_delta,0,0,0,0,0,5,
Lit,initial-page-load,fcp,100,99.2,92,104,3.919183588453085,5,
Lit,initial-page-load,lcp,100,99.2,92,104,3.919183588453085,5,
Lit,initial-page-load,cls,0,0,0,0,0,5,
Lit,initial-page-load,tti,12.5,12.179999999981373,9.79999999993015,13.599999999976717,1.3392535234328093,5,
Lit,initial-page-load,tbt,0,0,0,0,0,5,
Lit,initial-page-load,initial_heap_size,16100000,15740000,15200000,16100000,440908.15370097203,5,
Lit,initial-page-load,initial_used_heap,10000000,10000000,10000000,10000000,0,5,
Lit,initial-page-load,request_count,54,54,54,54,0,5,
